exercise,sets,reps,weight,date,rpe,rir,logged_at,actual_next_weight
Bicep Curl (barbell ),3,10,95.0,2016-02-28,,,2016-02-28T19:32:44,95.0
Chin Up,4,10,52.5,2016-02-28,,,2016-02-28T19:32:44,52.5
Rear delt fly,6,12,130.0,2016-02-28,,,2016-02-28T19:32:44,115.0
Seated Cable Row (close Grip),4,12,150.0,2016-02-28,,,2016-02-28T19:32:44,145.0
Seated Row,4,12,150.0,2016-02-28,,,2016-02-28T19:32:44,145.0
Leg outward fly,6,12,110.0,2016-02-29,,,2016-02-29T19:08:37,110.0
Squat,3,8,315.0,2016-02-29,,,2016-02-29T19:08:37,320.0
Squat (Barbell),3,8,315.0,2016-02-29,,,2016-02-29T19:08:37,320.0
Seated Military Press,2,8,210.0,2016-03-03,,,2016-03-03T12:52:05,210.0
Seated Shoulder  Press (Barbell),2,8,210.0,2016-03-03,,,2016-03-03T12:52:05,210.0
Weighted dips,4,10,90.0,2016-03-03,,,2016-03-03T12:52:05,0.0
Squat,2,6,320.0,2016-03-03,,,2016-03-03T17:39:01,185.0
Squat (Barbell),2,6,320.0,2016-03-03,,,2016-03-03T17:39:01,185.0
Bicep Curl (Barbell),2,12,95.0,2016-03-05,,,2016-03-05T11:37:57,90.0
Bicep Curl (barbell ),2,12,95.0,2016-03-05,,,2016-03-05T11:37:57,90.0
Chin Up,6,10,52.5,2016-03-05,,,2016-03-05T11:37:57,55.0
Rear delt fly,4,11,115.0,2016-03-05,,,2016-03-05T11:37:57,130.0
Seated Cable Row (close Grip),2,11,145.0,2016-03-05,,,2016-03-05T11:37:57,130.0
Seated Row,2,11,145.0,2016-03-05,,,2016-03-05T11:37:57,130.0
Incline Bench Press,2,6,245.0,2016-03-06,,,2016-03-06T12:25:22,240.0
Incline Bench Press (Barbell),2,6,245.0,2016-03-06,,,2016-03-06T12:25:22,240.0
Seated Shoulder Press (Dumbbell),3,10,140.0,2016-03-06,,,2016-03-06T12:25:22,60.0
Tricep Extension,4,10,90.0,2016-03-06,,,2016-03-06T12:25:22,80.0
Weighted dips,2,8,0.0,2016-03-06,,,2016-03-06T12:25:22,90.0
Leg curl,4,12,135.0,2016-03-08,,,2016-03-08T18:32:16,95.0
Leg press,3,12,360.0,2016-03-08,,,2016-03-08T18:32:16,360.0
Leg press (hinge ),3,12,360.0,2016-03-08,,,2016-03-08T18:32:16,360.0
Squat,2,6,185.0,2016-03-08,,,2016-03-08T18:32:16,275.0
Squat (Barbell),2,6,185.0,2016-03-08,,,2016-03-08T18:32:16,275.0
Chin Up,6,12,55.0,2016-03-10,,,2016-03-10T16:35:14,0.0
Rear delt fly,2,12,130.0,2016-03-10,,,2016-03-10T16:35:14,115.0
T-bar Row,8,10,115.0,2016-03-10,,,2016-03-10T16:35:14,117.5
Lateral Raise,1,12,70.0,2016-03-11,,,2016-03-11T18:08:23,60.0
Lateral Raise (Dumbbells),1,12,70.0,2016-03-11,,,2016-03-11T18:08:23,60.0
Seated Military Press,2,8,210.0,2016-03-11,,,2016-03-11T18:08:23,185.0
Seated Shoulder  Press (Barbell),2,8,210.0,2016-03-11,,,2016-03-11T18:08:23,185.0
Weighted dips,8,10,90.0,2016-03-11,,,2016-03-11T18:08:23,0.0
Bent Over Row (Dumbbell),6,12,85.0,2016-03-14,,,2016-03-14T17:35:39,190.0
Bicep Curl (Barbell),2,8,90.0,2016-03-14,,,2016-03-14T17:35:39,95.0
Bicep Curl (barbell ),2,8,90.0,2016-03-14,,,2016-03-14T17:35:39,95.0
Chin Up,8,12,0.0,2016-03-14,,,2016-03-14T17:35:39,55.0
Rear delt fly,4,12,115.0,2016-03-14,,,2016-03-14T17:35:39,130.0
Incline Bench Press,2,8,240.0,2016-03-15,,,2016-03-15T19:03:46,240.0
Incline Bench Press (Barbell),2,8,240.0,2016-03-15,,,2016-03-15T19:03:46,240.0
Seated Military Press,3,8,185.0,2016-03-15,,,2016-03-15T19:03:46,215.0
Seated Shoulder  Press (Barbell),3,8,185.0,2016-03-15,,,2016-03-15T19:03:46,215.0
Weighted dips,4,15,0.0,2016-03-15,,,2016-03-15T19:03:46,115.0
Squat,2,7,275.0,2016-03-17,,,2016-03-17T19:45:00,320.0
Squat (Barbell),2,7,275.0,2016-03-17,,,2016-03-17T19:45:00,320.0
Leg curl,6,12,95.0,2016-03-18,,,2016-03-18T19:45:00,135.0
Bicep Curl (Barbell),2,10,95.0,2016-03-19,,,2016-03-19T15:58:41,95.0
Bicep Curl (barbell ),2,10,95.0,2016-03-19,,,2016-03-19T15:58:41,95.0
Chin Up,4,8,55.0,2016-03-19,,,2016-03-19T15:58:41,0.0
Hammer Curl,2,10,60.0,2016-03-19,,,2016-03-19T15:58:41,70.0
Hammer Curl (Dumbbell ),2,10,60.0,2016-03-19,,,2016-03-19T15:58:41,70.0
Rear delt fly,4,12,130.0,2016-03-19,,,2016-03-19T15:58:41,120.0
Seated Cable Row (close Grip),2,12,130.0,2016-03-19,,,2016-03-19T15:58:41,145.0
Seated Row,2,12,130.0,2016-03-19,,,2016-03-19T15:58:41,145.0
T-bar Row,4,10,117.5,2016-03-19,,,2016-03-19T15:58:41,90.0
Military Press (Standing),2,10,45.0,2016-03-20,,,2016-03-20T10:09:05,85.0
Seated Military Press,3,8,215.0,2016-03-20,,,2016-03-20T10:09:05,220.0
Seated Shoulder  Press (Barbell),3,8,215.0,2016-03-20,,,2016-03-20T10:09:05,220.0
Shoulder Press (Standing),2,10,45.0,2016-03-20,,,2016-03-20T10:09:05,85.0
Weighted dips,4,8,115.0,2016-03-20,,,2016-03-20T10:09:05,90.0
Good Morning,2,12,85.0,2016-03-21,,,2016-03-21T11:33:11,105.0
Good Morning (Barbell),2,12,85.0,2016-03-21,,,2016-03-21T11:33:11,105.0
Leg press,3,12,360.0,2016-03-21,,,2016-03-21T11:33:11,410.0
Leg press (hinge ),3,12,360.0,2016-03-21,,,2016-03-21T11:33:11,410.0
Squat,2,6,320.0,2016-03-21,,,2016-03-21T11:33:11,305.0
Squat (Barbell),2,6,320.0,2016-03-21,,,2016-03-21T11:33:11,305.0
Chin Up,10,12,0.0,2016-03-23,,,2016-03-23T18:35:22,0.0
Incline Bench Press,3,6,240.0,2016-03-25,,,2016-03-25T16:22:01,240.0
Incline Bench Press (Barbell),3,6,240.0,2016-03-25,,,2016-03-25T16:22:01,240.0
Squat,2,8,305.0,2016-03-28,,,2016-03-28T15:20:15,315.0
Squat (Barbell),2,8,305.0,2016-03-28,,,2016-03-28T15:20:15,315.0
Chin Up,10,12,0.0,2016-03-30,,,2016-03-30T20:18:42,52.5
T-bar Row,6,8,90.0,2016-03-30,,,2016-03-30T20:18:42,125.0
Seated Military Press,2,8,220.0,2016-04-03,,,2016-04-03T13:08:05,165.0
Seated Shoulder  Press (Barbell),2,8,220.0,2016-04-03,,,2016-04-03T13:08:05,165.0
Shoulder Press (Standing),2,9,85.0,2016-04-03,,,2016-04-03T13:08:05,95.0
Weighted dips,6,8,90.0,2016-04-03,,,2016-04-03T13:08:05,45.0
Bicep Curl (Barbell),3,10,95.0,2016-04-03,,,2016-04-03T17:02:40,100.0
Bicep Curl (barbell ),3,10,95.0,2016-04-03,,,2016-04-03T17:02:40,100.0
Chin Up,6,8,52.5,2016-04-03,,,2016-04-03T17:02:40,55.0
Rear delt fly,6,15,120.0,2016-04-03,,,2016-04-03T17:02:40,125.0
Seated Cable Row (close Grip),1,12,145.0,2016-04-03,,,2016-04-03T17:02:40,145.0
Seated Row,1,12,145.0,2016-04-03,,,2016-04-03T17:02:40,145.0
T-bar Row,4,10,125.0,2016-04-03,,,2016-04-03T17:02:40,120.0
Good Morning,2,11,105.0,2016-04-05,,,2016-04-05T18:38:00,115.0
Good Morning (Barbell),2,11,105.0,2016-04-05,,,2016-04-05T18:38:00,115.0
Leg outward fly,6,12,110.0,2016-04-05,,,2016-04-05T18:38:00,130.0
Squat,2,6,315.0,2016-04-05,,,2016-04-05T18:38:00,315.0
Squat (Barbell),2,6,315.0,2016-04-05,,,2016-04-05T18:38:00,315.0
Incline Bench Press,3,7,240.0,2016-04-07,,,2016-04-07T19:04:52,235.0
Incline Bench Press (Barbell),3,7,240.0,2016-04-07,,,2016-04-07T19:04:52,235.0
Lateral Raise,2,14,60.0,2016-04-07,,,2016-04-07T19:04:52,40.0
Lateral Raise (Dumbbells),2,14,60.0,2016-04-07,,,2016-04-07T19:04:52,40.0
Seated Military Press,3,10,165.0,2016-04-07,,,2016-04-07T19:04:52,220.0
Seated Shoulder  Press (Barbell),3,10,165.0,2016-04-07,,,2016-04-07T19:04:52,220.0
Tricep Extension,2,8,80.0,2016-04-07,,,2016-04-07T19:04:52,75.0
Weighted dips,4,10,45.0,2016-04-07,,,2016-04-07T19:04:52,100.0
Bicep Curl (Barbell),2,8,100.0,2016-04-08,,,2016-04-08T20:11:24,100.0
Bicep Curl (barbell ),2,8,100.0,2016-04-08,,,2016-04-08T20:11:24,100.0
Chin Up,6,10,55.0,2016-04-08,,,2016-04-08T20:11:24,55.0
Rear delt fly,6,12,125.0,2016-04-08,,,2016-04-08T20:11:24,125.0
Seated Cable Row (close Grip),4,12,145.0,2016-04-08,,,2016-04-08T20:11:24,130.0
Seated Row,4,12,145.0,2016-04-08,,,2016-04-08T20:11:24,130.0
Squat,2,6,315.0,2016-04-10,,,2016-04-10T14:11:29,225.0
Squat (Barbell),2,6,315.0,2016-04-10,,,2016-04-10T14:11:29,225.0
Lateral Raise (Dumbbells),1,10,40.0,2016-04-12,,,2016-04-12T17:30:32,50.0
Seated Military Press,3,8,220.0,2016-04-12,,,2016-04-12T17:30:32,205.0
Seated Shoulder  Press (Barbell),3,8,220.0,2016-04-12,,,2016-04-12T17:30:32,205.0
Weighted dips,6,9,100.0,2016-04-12,,,2016-04-12T17:30:32,90.0
Bicep Curl (Barbell),2,9,100.0,2016-04-14,,,2016-04-14T17:47:15,85.0
Bicep Curl (barbell ),2,9,100.0,2016-04-14,,,2016-04-14T17:47:15,85.0
Chin Up,6,10,55.0,2016-04-14,,,2016-04-14T17:47:15,55.0
Hammer seated row,2,10,140.0,2016-04-14,,,2016-04-14T17:47:15,150.0
Hammer seated row (CLOSE GRIP),2,10,140.0,2016-04-14,,,2016-04-14T17:47:15,150.0
Rear delt fly,6,15,125.0,2016-04-14,,,2016-04-14T17:47:15,130.0
Chin Up,6,10,55.0,2016-04-21,,,2016-04-21T18:48:19,0.0
Hammer seated row,4,12,150.0,2016-04-21,,,2016-04-21T18:48:19,160.0
Hammer seated row (CLOSE GRIP),4,12,150.0,2016-04-21,,,2016-04-21T18:48:19,160.0
Seated Military Press,4,6,205.0,2016-04-22,,,2016-04-22T19:39:02,175.0
Seated Shoulder  Press (Barbell),4,6,205.0,2016-04-22,,,2016-04-22T19:39:02,175.0
Weighted dips,6,12,90.0,2016-04-22,,,2016-04-22T19:39:02,0.0
Good Morning,3,10,115.0,2016-04-23,,,2016-04-23T19:51:23,120.0
Good Morning (Barbell),3,10,115.0,2016-04-23,,,2016-04-23T19:51:23,120.0
Squat,3,8,225.0,2016-04-23,,,2016-04-23T19:51:23,245.0
Squat (Barbell),3,8,225.0,2016-04-23,,,2016-04-23T19:51:23,245.0
Bicep Curl (Barbell),4,12,85.0,2016-04-26,,,2016-04-26T22:29:37,95.0
Bicep Curl (barbell ),4,12,85.0,2016-04-26,,,2016-04-26T22:29:37,95.0
Chin Up,8,15,0.0,2016-04-26,,,2016-04-26T22:29:37,57.5
Hammer seated row,4,12,160.0,2016-04-26,,,2016-04-26T22:29:37,165.0
Hammer seated row (CLOSE GRIP),4,12,160.0,2016-04-26,,,2016-04-26T22:29:37,165.0
Rear delt fly,6,12,130.0,2016-04-26,,,2016-04-26T22:29:37,130.0
Incline Bench Press,3,8,235.0,2016-04-27,,,2016-04-27T18:13:30,225.0
Incline Bench Press (Barbell),3,8,235.0,2016-04-27,,,2016-04-27T18:13:30,225.0
Seated Military Press,2,10,175.0,2016-04-27,,,2016-04-27T18:13:30,185.0
Seated Shoulder  Press (Barbell),2,10,175.0,2016-04-27,,,2016-04-27T18:13:30,185.0
Tricep pushdown,6,15,130.0,2016-04-27,,,2016-04-27T18:13:30,120.0
Weighted dips,6,10,0.0,2016-04-27,,,2016-04-27T18:13:30,45.0
Good Morning,2,10,120.0,2016-04-29,,,2016-04-29T19:33:54,120.0
Good Morning (Barbell),2,10,120.0,2016-04-29,,,2016-04-29T19:33:54,120.0
Leg press,2,10,410.0,2016-04-29,,,2016-04-29T19:33:54,360.0
Leg press (hinge ),2,10,410.0,2016-04-29,,,2016-04-29T19:33:54,360.0
Squat,2,8,245.0,2016-04-29,,,2016-04-29T19:33:54,250.0
Squat (Barbell),2,8,245.0,2016-04-29,,,2016-04-29T19:33:54,250.0
Bicep Curl (Barbell),3,10,95.0,2016-04-30,,,2016-04-30T18:42:16,95.0
Bicep Curl (barbell ),3,10,95.0,2016-04-30,,,2016-04-30T18:42:16,95.0
Chin Up,6,8,57.5,2016-04-30,,,2016-04-30T18:42:16,0.0
Hammer seated row,2,10,165.0,2016-04-30,,,2016-04-30T18:42:16,145.0
Hammer seated row (CLOSE GRIP),2,10,165.0,2016-04-30,,,2016-04-30T18:42:16,145.0
Rear delt fly,4,12,130.0,2016-04-30,,,2016-04-30T18:42:16,130.0
Incline Bench Press,3,8,225.0,2016-05-01,,,2016-05-01T15:43:54,185.0
Incline Bench Press (Barbell),3,8,225.0,2016-05-01,,,2016-05-01T15:43:54,185.0
Seated Military Press,2,8,185.0,2016-05-01,,,2016-05-01T15:43:54,155.0
Seated Shoulder  Press (Barbell),2,8,185.0,2016-05-01,,,2016-05-01T15:43:54,155.0
Chin Up,6,12,0.0,2016-05-05,,,2016-05-05T18:43:48,0.0
Hammer Curl,2,14,70.0,2016-05-05,,,2016-05-05T18:43:48,70.0
Hammer Curl (Dumbbell ),2,14,70.0,2016-05-05,,,2016-05-05T18:43:48,70.0
Pull Up,4,10,0.0,2016-05-05,,,2016-05-05T18:43:48,25.0
Rear delt fly,4,15,130.0,2016-05-05,,,2016-05-05T18:43:48,130.0
Seated Cable Row (close Grip),3,15,130.0,2016-05-05,,,2016-05-05T18:43:48,175.0
Seated Row,3,15,130.0,2016-05-05,,,2016-05-05T18:43:48,175.0
Good Morning (Barbell),2,8,120.0,2016-05-06,,,2016-05-06T18:56:50,100.0
Squat,2,8,250.0,2016-05-06,,,2016-05-06T18:56:50,265.0
Squat (Barbell),2,8,250.0,2016-05-06,,,2016-05-06T18:56:50,265.0
Incline Bench Press,3,10,185.0,2016-05-10,,,2016-05-10T20:54:16,245.0
Incline Bench Press (Barbell),3,10,185.0,2016-05-10,,,2016-05-10T20:54:16,245.0
Seated Military Press,2,10,155.0,2016-05-10,,,2016-05-10T20:54:16,135.0
Seated Shoulder  Press (Barbell),2,10,155.0,2016-05-10,,,2016-05-10T20:54:16,135.0
Weighted dips,2,8,45.0,2016-05-10,,,2016-05-10T20:54:16,45.0
Chin Up,10,12,0.0,2016-05-11,,,2016-05-11T17:15:39,55.0
Hammer seated row,4,12,145.0,2016-05-11,,,2016-05-11T17:15:39,130.0
Hammer seated row (CLOSE GRIP),4,12,145.0,2016-05-11,,,2016-05-11T17:15:39,130.0
Seated Military Press,3,6,135.0,2016-05-15,,,2016-05-15T16:48:18,165.0
Seated Shoulder  Press (Barbell),3,6,135.0,2016-05-15,,,2016-05-15T16:48:18,165.0
Weighted dips,8,12,45.0,2016-05-15,,,2016-05-15T16:48:18,0.0
Glute extension.,2,12,130.0,2016-05-18,,,2016-05-18T18:06:17,115.0
Leg outward fly,2,10,130.0,2016-05-18,,,2016-05-18T18:06:17,110.0
Squat,2,8,265.0,2016-05-18,,,2016-05-18T18:06:17,235.0
Squat (Barbell),2,8,265.0,2016-05-18,,,2016-05-18T18:06:17,235.0
Incline Bench Press,3,5,245.0,2016-05-20,,,2016-05-20T18:42:16,225.0
Incline Bench Press (Barbell),3,5,245.0,2016-05-20,,,2016-05-20T18:42:16,225.0
Seated Military Press,2,8,165.0,2016-05-20,,,2016-05-20T18:42:16,185.0
Seated Shoulder  Press (Barbell),2,8,165.0,2016-05-20,,,2016-05-20T18:42:16,185.0
Weighted dips,4,10,0.0,2016-05-20,,,2016-05-20T18:42:16,70.0
Bicep Curl (Barbell),3,12,95.0,2016-05-21,,,2016-05-21T14:44:18,95.0
Bicep Curl (barbell ),3,12,95.0,2016-05-21,,,2016-05-21T14:44:18,95.0
Chin Up,6,10,55.0,2016-05-21,,,2016-05-21T14:44:18,45.0
Hammer seated row,2,12,130.0,2016-05-21,,,2016-05-21T14:44:18,145.0
Hammer seated row (CLOSE GRIP),2,12,130.0,2016-05-21,,,2016-05-21T14:44:18,145.0
Lat Pulldown,4,12,150.0,2016-05-21,,,2016-05-21T14:44:18,165.0
Seated Military Press,3,8,185.0,2016-06-02,,,2016-06-02T19:23:06,155.0
Seated Shoulder  Press (Barbell),3,8,185.0,2016-06-02,,,2016-06-02T19:23:06,155.0
Weighted dips,2,8,70.0,2016-06-02,,,2016-06-02T19:23:06,0.0
Incline Bench Press,3,8,225.0,2016-06-06,,,2016-06-06T20:41:36,225.0
Incline Bench Press (Barbell),3,8,225.0,2016-06-06,,,2016-06-06T20:41:36,225.0
Seated Military Press,2,8,155.0,2016-06-06,,,2016-06-06T20:41:36,185.0
Seated Shoulder  Press (Barbell),2,8,155.0,2016-06-06,,,2016-06-06T20:41:36,185.0
Weighted dips,4,10,0.0,2016-06-06,,,2016-06-06T20:41:36,90.0
Bicep Curl (Barbell),2,10,95.0,2016-06-07,,,2016-06-07T14:02:59,95.0
Bicep Curl (barbell ),2,10,95.0,2016-06-07,,,2016-06-07T14:02:59,100.0
Chin Up,8,8,45.0,2016-06-07,,,2016-06-07T14:02:59,35.0
Hammer seated row (CLOSE GRIP),3,10,145.0,2016-06-07,,,2016-06-07T14:02:59,130.0
Rear delt fly,6,12,130.0,2016-06-07,,,2016-06-07T14:02:59,135.0
Chin Up,4,8,35.0,2016-06-11,,,2016-06-11T18:49:41,35.0
Seated Cable Row (close Grip),4,9,175.0,2016-06-11,,,2016-06-11T18:49:41,150.0
Seated Row,4,9,175.0,2016-06-11,,,2016-06-11T18:49:41,150.0
Leg press,4,12,360.0,2016-06-12,,,2016-06-12T13:30:36,550.0
Leg press (hinge ),4,12,360.0,2016-06-12,,,2016-06-12T13:30:36,450.0
Squat,2,8,235.0,2016-06-12,,,2016-06-12T13:30:36,225.0
Squat (Barbell),2,8,235.0,2016-06-12,,,2016-06-12T13:30:36,225.0
Seated Military Press,2,8,185.0,2016-06-15,,,2016-06-15T06:04:11,195.0
Seated Shoulder  Press (Barbell),2,8,185.0,2016-06-15,,,2016-06-15T06:04:11,195.0
Weighted dips,4,8,90.0,2016-06-15,,,2016-06-15T06:04:11,45.0
Chin Up,8,8,35.0,2016-06-18,,,2016-06-18T12:39:27,45.0
Rear delt fly,8,15,135.0,2016-06-18,,,2016-06-18T12:39:27,135.0
Seated Cable Row (close Grip),4,10,150.0,2016-06-18,,,2016-06-18T12:39:27,160.0
Seated Row,4,10,150.0,2016-06-18,,,2016-06-18T12:39:27,160.0
Squat,2,8,225.0,2016-06-19,,,2016-06-19T12:39:27,265.0
Squat (Barbell),2,8,225.0,2016-06-19,,,2016-06-19T12:39:27,265.0
Seated Military Press,2,8,195.0,2016-06-20,,,2016-06-20T17:06:00,165.0
Seated Shoulder  Press (Barbell),2,8,195.0,2016-06-20,,,2016-06-20T17:06:00,165.0
Weighted dips,4,12,45.0,2016-06-20,,,2016-06-20T17:06:00,45.0
Chin Up,8,8,45.0,2016-06-24,,,2016-06-24T18:24:09,35.0
Hammer Curl,3,15,70.0,2016-06-24,,,2016-06-24T18:24:09,60.0
Hammer Curl (Dumbbell ),3,15,70.0,2016-06-24,,,2016-06-24T18:24:09,80.0
Rear delt fly,6,8,135.0,2016-06-24,,,2016-06-24T18:24:09,135.0
Seated Cable Row (close Grip),3,12,160.0,2016-06-24,,,2016-06-24T18:24:09,160.0
Hammer shoulder press,6,10,140.0,2016-06-25,,,2016-06-25T16:55:10,140.0
Incline Bench Press,3,8,225.0,2016-06-25,,,2016-06-25T16:55:10,225.0
Incline Bench Press (Barbell),3,8,225.0,2016-06-25,,,2016-06-25T16:55:10,225.0
Tricep pushdown,4,15,120.0,2016-06-25,,,2016-06-25T16:55:10,65.0
Squat (Barbell),2,8,265.0,2016-06-26,,,2016-06-26T14:01:34,225.0
Incline Bench Press (Barbell),3,8,225.0,2016-06-30,,,2016-06-30T22:07:32,225.0
Seated Shoulder  Press (Barbell),2,8,165.0,2016-06-30,,,2016-06-30T22:07:32,205.0
Weighted dips,6,10,45.0,2016-06-30,,,2016-06-30T22:07:32,0.0
Bicep Curl (Barbell),2,10,95.0,2016-07-17,,,2016-07-17T17:21:08,95.0
Chin Up,5,8,35.0,2016-07-17,,,2016-07-17T17:21:08,37.5
Hammer Curl (Dumbbell ),1,10,80.0,2016-07-17,,,2016-07-17T17:21:08,60.0
Lat Pulldown,2,10,165.0,2016-07-17,,,2016-07-17T17:21:08,135.0
Rear delt fly,3,15,135.0,2016-07-17,,,2016-07-17T17:21:08,140.0
T-bar Row,2,10,120.0,2016-07-17,,,2016-07-17T17:21:08,125.0
Incline Bench Press (Barbell),3,8,225.0,2016-07-30,,,2016-07-30T14:46:46,225.0
Overhead Press (Dumbbell),3,10,120.0,2016-07-30,,,2016-07-30T14:46:46,40.0
Weighted dips,1,12,0.0,2016-07-30,,,2016-07-30T14:46:46,90.0
Squat (Barbell),3,8,225.0,2016-07-31,,,2016-07-31T17:39:34,255.0
Bicep Curl (Barbell),3,10,95.0,2016-08-04,,,2016-08-04T19:23:57,95.0
Chin Up,6,10,37.5,2016-08-04,,,2016-08-04T19:23:57,35.0
Hammer Curl (Dumbbell ),2,12,60.0,2016-08-04,,,2016-08-04T19:23:57,70.0
Rear delt fly,3,12,140.0,2016-08-04,,,2016-08-04T19:23:57,145.0
Seated Cable Row (close Grip),3,10,160.0,2016-08-04,,,2016-08-04T19:23:57,160.0
Deadlift (Barbell),2,6,275.0,2016-08-05,,,2016-08-05T21:52:25,275.0
Squat (Barbell),2,8,255.0,2016-08-05,,,2016-08-05T21:52:25,280.0
Incline Bench Press (Barbell),3,8,225.0,2016-08-07,,,2016-08-07T14:21:23,135.0
Overhead Press (Barbell),2,10,155.0,2016-08-07,,,2016-08-07T14:21:23,185.0
Shoulder Press (Standing),1,8,95.0,2016-08-07,,,2016-08-07T14:21:23,80.0
Chin Up,4,10,35.0,2016-08-09,,,2016-08-09T18:10:05,45.0
Seated Cable Row (close Grip),3,10,160.0,2016-08-09,,,2016-08-09T18:10:05,175.0
Seated Shoulder  Press (Barbell),2,8,205.0,2016-08-13,,,2016-08-13T16:01:20,185.0
Shoulder Press (Standing),2,8,80.0,2016-08-13,,,2016-08-13T16:01:20,105.0
Weighted dips,3,8,90.0,2016-08-13,,,2016-08-13T16:01:20,90.0
Deadlift (Barbell),3,5,275.0,2016-08-13,,,2016-08-13T19:27:54,285.0
Squat (Barbell),3,5,280.0,2016-08-13,,,2016-08-13T19:27:54,285.0
Chin Up,5,8,45.0,2016-08-15,,,2016-08-15T19:30:15,50.0
Rear delt fly,3,10,145.0,2016-08-15,,,2016-08-15T19:30:15,145.0
Seated Cable Row (close Grip),3,8,175.0,2016-08-15,,,2016-08-15T19:30:15,155.0
Deadlift (Barbell),2,6,285.0,2016-08-19,,,2016-08-19T17:32:28,300.0
Leg press (hinge ),3,10,450.0,2016-08-19,,,2016-08-19T17:32:28,450.0
Squat (Barbell),3,8,285.0,2016-08-19,,,2016-08-19T17:32:28,315.0
Bicep Curl (Barbell),2,11,95.0,2016-08-20,,,2016-08-20T19:18:20,75.0
Chin Up,4,8,50.0,2016-08-20,,,2016-08-20T19:18:20,50.0
Pull Up,2,8,25.0,2016-08-20,,,2016-08-20T19:18:20,50.0
Rear delt fly,1,12,145.0,2016-08-20,,,2016-08-20T19:18:20,135.0
T-bar Row,3,8,125.0,2016-08-20,,,2016-08-20T19:18:20,127.5
Seated Shoulder  Press (Barbell),2,10,185.0,2016-08-22,,,2016-08-22T12:49:10,215.0
Weighted dips,3,8,90.0,2016-08-22,,,2016-08-22T12:49:10,90.0
Deadlift (Barbell),3,6,300.0,2016-08-24,,,2016-08-24T21:08:23,315.0
Leg press (hinge ),3,10,450.0,2016-08-24,,,2016-08-24T21:08:23,450.0
Squat (Barbell),3,5,315.0,2016-08-24,,,2016-08-24T21:08:23,315.0
Bicep Curl (Barbell),3,12,75.0,2016-08-25,,,2016-08-25T22:09:45,100.0
Chin Up,3,9,50.0,2016-08-25,,,2016-08-25T22:09:45,52.5
Hammer Curl (Dumbbell ),1,12,70.0,2016-08-25,,,2016-08-25T22:09:45,50.0
Pull Up,2,8,50.0,2016-08-25,,,2016-08-25T22:09:45,27.5
Seated Cable Row (close Grip),1,12,155.0,2016-08-25,,,2016-08-25T22:09:45,175.0
T-bar Row,3,10,127.5,2016-08-25,,,2016-08-25T22:09:45,135.0
Bench Press (Barbell),2,5,185.0,2016-08-26,,,2016-08-26T17:05:57,275.0
Incline Bench Press (Barbell),3,5,135.0,2016-08-26,,,2016-08-26T17:05:57,135.0
Overhead Press (Barbell),3,8,185.0,2016-08-26,,,2016-08-26T17:05:57,40.0
Tricep pushdown,4,12,65.0,2016-08-26,,,2016-08-26T17:05:57,60.0
Deadlift (Barbell),2,6,315.0,2016-08-28,,,2016-08-28T17:39:36,325.0
Leg press (hinge ),3,10,450.0,2016-08-28,,,2016-08-28T17:39:36,450.0
Squat (Barbell),3,6,315.0,2016-08-28,,,2016-08-28T17:39:36,320.0
Incline Press (Dumbbell),3,10,120.0,2016-08-30,,,2016-08-30T20:43:40,140.0
Seated Shoulder  Press (Barbell),3,8,215.0,2016-08-30,,,2016-08-30T20:43:40,205.0
Weighted dips,3,9,90.0,2016-08-30,,,2016-08-30T20:43:40,100.0
Bicep Curl (Barbell),1,9,100.0,2016-08-31,,,2016-08-31T14:10:02,75.0
Chin Up,3,9,52.5,2016-08-31,,,2016-08-31T14:10:02,55.0
Hammer seated row (CLOSE GRIP),3,10,130.0,2016-08-31,,,2016-08-31T14:10:02,165.0
Pull Up,3,10,27.5,2016-08-31,,,2016-08-31T14:10:02,30.0
Rear delt fly,2,12,135.0,2016-08-31,,,2016-08-31T14:10:02,130.0
T-bar Row,3,9,135.0,2016-08-31,,,2016-08-31T14:10:02,100.0
Front Squat (Barbell),1,5,175.0,2016-09-02,,,2016-09-02T04:51:09,225.0
Leg curl,3,10,135.0,2016-09-02,,,2016-09-02T04:51:09,125.0
Leg press (hinge ),4,12,450.0,2016-09-02,,,2016-09-02T04:51:09,470.0
Squat (Barbell),3,6,320.0,2016-09-02,,,2016-09-02T04:51:09,330.0
Incline Bench Press (Barbell),2,7,135.0,2016-09-03,,,2016-09-03T10:36:20,225.0
Overhead Press (Dumbbell),3,12,40.0,2016-09-03,,,2016-09-03T10:36:20,60.0
Tricep pushdown,3,15,60.0,2016-09-03,,,2016-09-03T10:36:20,70.0
Weighted dips,3,8,100.0,2016-09-03,,,2016-09-03T10:36:20,90.0
Bent Over Row (Dumbbell),3,10,190.0,2016-09-04,,,2016-09-04T16:24:32,160.0
Chin Up,4,9,55.0,2016-09-04,,,2016-09-04T16:24:32,55.0
Hammer Curl (Dumbbell ),4,7,50.0,2016-09-04,,,2016-09-04T16:24:32,50.0
Lat Pulldown,2,10,135.0,2016-09-04,,,2016-09-04T16:24:32,135.0
Pull Up,2,10,30.0,2016-09-04,,,2016-09-04T16:24:32,35.0
T-bar Row,2,12,100.0,2016-09-04,,,2016-09-04T16:24:32,137.5
Deadlift (Barbell),3,5,325.0,2016-09-06,,,2016-09-06T19:56:20,350.0
