exercise,sets,reps,weight,date,rpe,rir,logged_at,actual_next_weight
Squat,2,8,225.0,2015-12-02,,,2015-12-02T17:35:51,315.0
Squat (Barbell),2,8,225.0,2015-12-02,,,2015-12-02T17:35:51,315.0
Bent Over Row (Dumbbell),6,12,150.0,2015-12-04,,,2015-12-04T14:01:58,180.0
Bicep Curl (Barbell),3,12,80.0,2015-12-04,,,2015-12-04T14:01:58,80.0
Bicep Curl (barbell ),3,12,80.0,2015-12-04,,,2015-12-04T14:01:58,80.0
Chin Up,8,12,0.0,2015-12-04,,,2015-12-04T14:01:58,50.0
Lat Pulldown,2,9,145.0,2015-12-04,,,2015-12-04T14:01:58,150.0
Rear delt fly,6,14,115.0,2015-12-04,,,2015-12-04T14:01:58,125.0
Incline Bench Press,3,8,135.0,2015-12-06,,,2015-12-06T10:53:19,237.5
Incline Bench Press (Barbell),3,8,135.0,2015-12-06,,,2015-12-06T10:53:19,237.5
Seated Military Press,2,10,155.0,2015-12-06,,,2015-12-06T10:53:19,215.0
Seated Shoulder  Press (Barbell),2,10,155.0,2015-12-06,,,2015-12-06T10:53:19,215.0
Weighted dips,2,10,25.0,2015-12-06,,,2015-12-06T10:53:19,95.0
Good Morning,3,10,95.0,2015-12-07,,,2015-12-07T19:37:54,85.0
Good Morning (Barbell),3,10,95.0,2015-12-07,,,2015-12-07T19:37:54,85.0
Leg press,3,10,500.01,2015-12-07,,,2015-12-07T19:37:54,450.0
Leg press (hinge ),3,10,500.01,2015-12-07,,,2015-12-07T19:37:54,450.0
Squat,4,6,315.0,2015-12-07,,,2015-12-07T19:37:54,315.0
Squat (Barbell),4,6,315.0,2015-12-07,,,2015-12-07T19:37:54,315.0
Bicep Curl (Barbell),2,12,80.0,2015-12-09,,,2015-12-09T12:44:47,90.0
Bicep Curl (barbell ),2,12,80.0,2015-12-09,,,2015-12-09T12:44:47,90.0
Chin Up,6,8,50.0,2015-12-09,,,2015-12-09T12:44:47,52.5
Lat Pulldown,6,10,150.0,2015-12-09,,,2015-12-09T12:44:47,150.0
Rear delt fly,6,12,125.0,2015-12-09,,,2015-12-09T12:44:47,125.0
Seated Cable Row (close Grip),2,10,175.0,2015-12-09,,,2015-12-09T12:44:47,190.0
Seated Row,2,10,175.0,2015-12-09,,,2015-12-09T12:44:47,190.0
Incline Bench Press,3,8,237.5,2015-12-11,,,2015-12-11T16:21:05,237.5
Incline Bench Press (Barbell),3,8,237.5,2015-12-11,,,2015-12-11T16:21:05,237.5
Seated Military Press (Dumbbell),2,9,120.0,2015-12-11,,,2015-12-11T16:21:05,180.0
Seated Shoulder Press (Dumbbell),2,9,120.0,2015-12-11,,,2015-12-11T16:21:05,180.0
Tricep Extension,4,10,80.0,2015-12-11,,,2015-12-11T16:21:05,90.0
Leg curl,4,12,115.0,2015-12-12,,,2015-12-12T15:29:38,130.0
Squat,3,6,315.0,2015-12-12,,,2015-12-12T15:29:38,275.0
Squat (Barbell),3,6,315.0,2015-12-12,,,2015-12-12T15:29:38,275.0
Bicep Curl (Barbell),3,12,90.0,2015-12-15,,,2015-12-15T18:28:20,95.0
Bicep Curl (barbell ),3,12,90.0,2015-12-15,,,2015-12-15T18:28:20,95.0
Chin Up,4,8,52.5,2015-12-15,,,2015-12-15T18:28:20,52.5
Rear delt fly,6,15,125.0,2015-12-15,,,2015-12-15T18:28:20,130.0
Seated Cable Row (close Grip),3,10,190.0,2015-12-15,,,2015-12-15T18:28:20,130.0
Seated Row,3,10,190.0,2015-12-15,,,2015-12-15T18:28:20,130.0
Lateral Raise,2,12,50.0,2015-12-16,,,2015-12-16T18:08:00,30.0
Lateral Raise (Dumbbells),2,12,50.0,2015-12-16,,,2015-12-16T18:08:00,30.0
Seated Military Press (Dumbbell),3,12,180.0,2015-12-16,,,2015-12-16T18:08:00,180.0
Seated Shoulder Press (Dumbbell),3,12,180.0,2015-12-16,,,2015-12-16T18:08:00,180.0
Weighted dips,6,12,95.0,2015-12-16,,,2015-12-16T18:08:00,45.0
Leg curl,6,12,130.0,2015-12-18,,,2015-12-18T17:40:08,130.0
Squat,3,8,275.0,2015-12-18,,,2015-12-18T17:40:08,315.0
Squat (Barbell),3,8,275.0,2015-12-18,,,2015-12-18T17:40:08,315.0
Incline Bench Press,3,8,237.5,2015-12-20,,,2015-12-20T13:46:49,235.0
Incline Bench Press (Barbell),3,8,237.5,2015-12-20,,,2015-12-20T13:46:49,235.0
Incline Press (Dumbbell),2,10,150.0,2015-12-20,,,2015-12-20T13:46:49,120.0
Lateral Raise,2,12,30.0,2015-12-20,,,2015-12-20T13:46:49,40.0
Lateral Raise (Dumbbells),2,12,30.0,2015-12-20,,,2015-12-20T13:46:49,40.0
Tricep pushdown,6,10,80.0,2015-12-20,,,2015-12-20T13:46:49,130.0
Weighted dips,6,10,45.0,2015-12-20,,,2015-12-20T13:46:49,45.0
Bent Over Row (Dumbbell),6,10,180.0,2015-12-22,,,2015-12-22T17:22:42,85.0
Bicep Curl (Barbell),2,10,95.0,2015-12-22,,,2015-12-22T17:22:42,90.0
Bicep Curl (barbell ),2,10,95.0,2015-12-22,,,2015-12-22T17:22:42,90.0
Chin Up,6,8,52.5,2015-12-22,,,2015-12-22T17:22:42,35.0
Rear delt fly,4,12,130.0,2015-12-22,,,2015-12-22T17:22:42,130.0
Seated Cable Row (close Grip),2,12,130.0,2015-12-22,,,2015-12-22T17:22:42,160.0
Seated Row,2,12,130.0,2015-12-22,,,2015-12-22T17:22:42,160.0
Leg curl,4,10,130.0,2015-12-23,,,2015-12-23T17:53:46,125.0
Leg press,2,12,450.0,2015-12-23,,,2015-12-23T17:53:46,360.0
Leg press (hinge ),2,12,450.0,2015-12-23,,,2015-12-23T17:53:46,360.0
Squat,3,6,315.0,2015-12-23,,,2015-12-23T17:53:46,275.0
Squat (Barbell),3,6,315.0,2015-12-23,,,2015-12-23T17:53:46,275.0
Incline Bench Press,3,8,235.0,2015-12-24,,,2015-12-24T11:40:14,240.0
Incline Bench Press (Barbell),3,8,235.0,2015-12-24,,,2015-12-24T11:40:14,240.0
Lateral Raise,2,12,40.0,2015-12-24,,,2015-12-24T11:40:14,20.0
Lateral Raise (Dumbbells),2,12,40.0,2015-12-24,,,2015-12-24T11:40:14,20.0
Military Press (Standing),1,10,80.0,2015-12-24,,,2015-12-24T11:40:14,100.0
Shoulder Press (Standing),1,10,80.0,2015-12-24,,,2015-12-24T11:40:14,100.0
Weighted dips,4,12,45.0,2015-12-24,,,2015-12-24T11:40:14,100.0
Chin Up,6,8,35.0,2015-12-26,,,2015-12-26T14:34:33,0.0
Hammer Curl,1,8,80.0,2015-12-26,,,2015-12-26T14:34:33,60.0
Hammer Curl (Dumbbell ),1,8,80.0,2015-12-26,,,2015-12-26T14:34:33,60.0
