exercise,sets,reps,weight,date,rpe,rir,logged_at
Seated Shoulder Press (Dumbbell),3,10,140.0,2016-03-06,,,2016-03-06T12:25:22
Tricep Extension,4,10,90.0,2016-03-06,,,2016-03-06T12:25:22
Weighted dips,2,8,0.0,2016-03-06,,,2016-03-06T12:25:22
Leg curl,4,12,135.0,2016-03-08,,,2016-03-08T18:32:16
Leg press,3,12,360.0,2016-03-08,,,2016-03-08T18:32:16
Leg press (hinge ),3,12,360.0,2016-03-08,,,2016-03-08T18:32:16
Squat,2,6,185.0,2016-03-08,,,2016-03-08T18:32:16
Squat (Barbell),2,6,185.0,2016-03-08,,,2016-03-08T18:32:16
Chin Up,6,12,55.0,2016-03-10,,,2016-03-10T16:35:14
Rear delt fly,2,12,130.0,2016-03-10,,,2016-03-10T16:35:14
T-bar Row,8,10,115.0,2016-03-10,,,2016-03-10T16:35:14
Lateral Raise,1,12,70.0,2016-03-11,,,2016-03-11T18:08:23
Lateral Raise (Dumbbells),1,12,70.0,2016-03-11,,,2016-03-11T18:08:23
Seated Military Press,2,8,210.0,2016-03-11,,,2016-03-11T18:08:23
Seated Shoulder  Press (Barbell),2,8,210.0,2016-03-11,,,2016-03-11T18:08:23
Weighted dips,8,10,90.0,2016-03-11,,,2016-03-11T18:08:23
Bent Over Row (Dumbbell),6,12,85.0,2016-03-14,,,2016-03-14T17:35:39
Bicep Curl (Barbell),2,8,90.0,2016-03-14,,,2016-03-14T17:35:39
Bicep Curl (barbell ),2,8,90.0,2016-03-14,,,2016-03-14T17:35:39
Chin Up,8,12,0.0,2016-03-14,,,2016-03-14T17:35:39
Hammer back row wide 45 angle,6,8,140.0,2016-03-14,,,2016-03-14T17:35:39
Rear delt fly,4,12,115.0,2016-03-14,,,2016-03-14T17:35:39
Incline Bench Press,2,8,240.0,2016-03-15,,,2016-03-15T19:03:46
Incline Bench Press (Barbell),2,8,240.0,2016-03-15,,,2016-03-15T19:03:46
Seated Military Press,3,8,185.0,2016-03-15,,,2016-03-15T19:03:46
Seated Shoulder  Press (Barbell),3,8,185.0,2016-03-15,,,2016-03-15T19:03:46
Weighted dips,4,15,0.0,2016-03-15,,,2016-03-15T19:03:46
Squat,2,7,275.0,2016-03-17,,,2016-03-17T19:45:00
Squat (Barbell),2,7,275.0,2016-03-17,,,2016-03-17T19:45:00
Leg curl,6,12,95.0,2016-03-18,,,2016-03-18T19:45:00
Bicep Curl (Barbell),2,10,95.0,2016-03-19,,,2016-03-19T15:58:41
Bicep Curl (barbell ),2,10,95.0,2016-03-19,,,2016-03-19T15:58:41
Chin Up,4,8,55.0,2016-03-19,,,2016-03-19T15:58:41
Hammer Curl,2,10,60.0,2016-03-19,,,2016-03-19T15:58:41
Hammer Curl (Dumbbell ),2,10,60.0,2016-03-19,,,2016-03-19T15:58:41
Rear delt fly,4,12,130.0,2016-03-19,,,2016-03-19T15:58:41
Seated Cable Row (close Grip),2,12,130.0,2016-03-19,,,2016-03-19T15:58:41
Seated Row,2,12,130.0,2016-03-19,,,2016-03-19T15:58:41
Shrugs (dumbbell),6,20,60.0,2016-03-19,,,2016-03-19T15:58:41
T-bar Row,4,10,117.5,2016-03-19,,,2016-03-19T15:58:41
Military Press (Standing),2,10,45.0,2016-03-20,,,2016-03-20T10:09:05
Seated Military Press,3,8,215.0,2016-03-20,,,2016-03-20T10:09:05
Seated Shoulder  Press (Barbell),3,8,215.0,2016-03-20,,,2016-03-20T10:09:05
Shoulder Press (Standing),2,10,45.0,2016-03-20,,,2016-03-20T10:09:05
Weighted dips,4,8,115.0,2016-03-20,,,2016-03-20T10:09:05
Good Morning,2,12,85.0,2016-03-21,,,2016-03-21T11:33:11
Good Morning (Barbell),2,12,85.0,2016-03-21,,,2016-03-21T11:33:11
Leg press,3,12,360.0,2016-03-21,,,2016-03-21T11:33:11
Leg press (hinge ),3,12,360.0,2016-03-21,,,2016-03-21T11:33:11
Squat,2,6,320.0,2016-03-21,,,2016-03-21T11:33:11
Squat (Barbell),2,6,320.0,2016-03-21,,,2016-03-21T11:33:11
Chin Up,10,12,0.0,2016-03-23,,,2016-03-23T18:35:22
Incline Bench Press,3,6,240.0,2016-03-25,,,2016-03-25T16:22:01
Incline Bench Press (Barbell),3,6,240.0,2016-03-25,,,2016-03-25T16:22:01
Squat,2,8,305.0,2016-03-28,,,2016-03-28T15:20:15
Squat (Barbell),2,8,305.0,2016-03-28,,,2016-03-28T15:20:15
Chin Up,10,12,0.0,2016-03-30,,,2016-03-30T20:18:42
T-bar Row,6,8,90.0,2016-03-30,,,2016-03-30T20:18:42
Military Press (Standing),2,9,85.0,2016-04-03,,,2016-04-03T13:08:05
Seated Military Press,2,8,220.0,2016-04-03,,,2016-04-03T13:08:05
Seated Shoulder  Press (Barbell),2,8,220.0,2016-04-03,,,2016-04-03T13:08:05
Shoulder Press (Standing),2,9,85.0,2016-04-03,,,2016-04-03T13:08:05
Weighted dips,6,8,90.0,2016-04-03,,,2016-04-03T13:08:05
Bicep Curl (Barbell),3,10,95.0,2016-04-03,,,2016-04-03T17:02:40
Bicep Curl (barbell ),3,10,95.0,2016-04-03,,,2016-04-03T17:02:40
Chin Up,6,8,52.5,2016-04-03,,,2016-04-03T17:02:40
Rear delt fly,6,15,120.0,2016-04-03,,,2016-04-03T17:02:40
Seated Cable Row (close Grip),1,12,145.0,2016-04-03,,,2016-04-03T17:02:40
Seated Row,1,12,145.0,2016-04-03,,,2016-04-03T17:02:40
T-bar Row,4,10,125.0,2016-04-03,,,2016-04-03T17:02:40
Good Morning,2,11,105.0,2016-04-05,,,2016-04-05T18:38:00
Good Morning (Barbell),2,11,105.0,2016-04-05,,,2016-04-05T18:38:00
Leg outward fly,6,12,110.0,2016-04-05,,,2016-04-05T18:38:00
Squat,2,6,315.0,2016-04-05,,,2016-04-05T18:38:00
Squat (Barbell),2,6,315.0,2016-04-05,,,2016-04-05T18:38:00
Incline Bench Press,3,7,240.0,2016-04-07,,,2016-04-07T19:04:52
Incline Bench Press (Barbell),3,7,240.0,2016-04-07,,,2016-04-07T19:04:52
Lateral Raise,2,14,60.0,2016-04-07,,,2016-04-07T19:04:52
Lateral Raise (Dumbbells),2,14,60.0,2016-04-07,,,2016-04-07T19:04:52
Seated Military Press,3,10,165.0,2016-04-07,,,2016-04-07T19:04:52
Seated Shoulder  Press (Barbell),3,10,165.0,2016-04-07,,,2016-04-07T19:04:52
Tricep Extension,2,8,80.0,2016-04-07,,,2016-04-07T19:04:52
Weighted dips,4,10,45.0,2016-04-07,,,2016-04-07T19:04:52
Bicep Curl (Barbell),2,8,100.0,2016-04-08,,,2016-04-08T20:11:24
Bicep Curl (barbell ),2,8,100.0,2016-04-08,,,2016-04-08T20:11:24
Chin Up,6,10,55.0,2016-04-08,,,2016-04-08T20:11:24
Rear delt fly,6,12,125.0,2016-04-08,,,2016-04-08T20:11:24
Seated Cable Row (close Grip),4,12,145.0,2016-04-08,,,2016-04-08T20:11:24
Seated Row,4,12,145.0,2016-04-08,,,2016-04-08T20:11:24
Squat,2,6,315.0,2016-04-10,,,2016-04-10T14:11:29
Squat (Barbell),2,6,315.0,2016-04-10,,,2016-04-10T14:11:29
Lateral Raise,1,10,40.0,2016-04-12,,,2016-04-12T17:30:32
Lateral Raise (Dumbbells),1,10,40.0,2016-04-12,,,2016-04-12T17:30:32
Seated Military Press,3,8,220.0,2016-04-12,,,2016-04-12T17:30:32
Seated Shoulder  Press (Barbell),3,8,220.0,2016-04-12,,,2016-04-12T17:30:32
Weighted dips,6,9,100.0,2016-04-12,,,2016-04-12T17:30:32
Bicep Curl (Barbell),2,9,100.0,2016-04-14,,,2016-04-14T17:47:15
Bicep Curl (barbell ),2,9,100.0,2016-04-14,,,2016-04-14T17:47:15
Chin Up,6,10,55.0,2016-04-14,,,2016-04-14T17:47:15
Hammer seated row,2,10,140.0,2016-04-14,,,2016-04-14T17:47:15
Hammer seated row (CLOSE GRIP),2,10,140.0,2016-04-14,,,2016-04-14T17:47:15
Rear delt fly,6,15,125.0,2016-04-14,,,2016-04-14T17:47:15
Chin Up,6,10,55.0,2016-04-21,,,2016-04-21T18:48:19
Hammer seated row,4,12,150.0,2016-04-21,,,2016-04-21T18:48:19
Hammer seated row (CLOSE GRIP),4,12,150.0,2016-04-21,,,2016-04-21T18:48:19
Seated Military Press,4,6,205.0,2016-04-22,,,2016-04-22T19:39:02
Seated Shoulder  Press (Barbell),4,6,205.0,2016-04-22,,,2016-04-22T19:39:02
Weighted dips,6,12,90.0,2016-04-22,,,2016-04-22T19:39:02
Good Morning,3,10,115.0,2016-04-23,,,2016-04-23T19:51:23
Good Morning (Barbell),3,10,115.0,2016-04-23,,,2016-04-23T19:51:23
Squat,3,8,225.0,2016-04-23,,,2016-04-23T19:51:23
Squat (Barbell),3,8,225.0,2016-04-23,,,2016-04-23T19:51:23
Bicep Curl (Barbell),4,12,85.0,2016-04-26,,,2016-04-26T22:29:37
Bicep Curl (barbell ),4,12,85.0,2016-04-26,,,2016-04-26T22:29:37
Chin Up,8,15,0.0,2016-04-26,,,2016-04-26T22:29:37
Hammer seated row,4,12,160.0,2016-04-26,,,2016-04-26T22:29:37
Hammer seated row (CLOSE GRIP),4,12,160.0,2016-04-26,,,2016-04-26T22:29:37
Rear delt fly,6,12,130.0,2016-04-26,,,2016-04-26T22:29:37
Incline Bench Press,3,8,235.0,2016-04-27,,,2016-04-27T18:13:30
Incline Bench Press (Barbell),3,8,235.0,2016-04-27,,,2016-04-27T18:13:30
Seated Military Press,2,10,175.0,2016-04-27,,,2016-04-27T18:13:30
Seated Shoulder  Press (Barbell),2,10,175.0,2016-04-27,,,2016-04-27T18:13:30
Tricep pushdown,6,15,130.0,2016-04-27,,,2016-04-27T18:13:30
Weighted dips,6,10,0.0,2016-04-27,,,2016-04-27T18:13:30
Good Morning,2,10,120.0,2016-04-29,,,2016-04-29T19:33:54
Good Morning (Barbell),2,10,120.0,2016-04-29,,,2016-04-29T19:33:54
Leg press,2,10,410.0,2016-04-29,,,2016-04-29T19:33:54
Leg press (hinge ),2,10,410.0,2016-04-29,,,2016-04-29T19:33:54
Squat,2,8,245.0,2016-04-29,,,2016-04-29T19:33:54
Squat (Barbell),2,8,245.0,2016-04-29,,,2016-04-29T19:33:54
Bicep Curl (Barbell),3,10,95.0,2016-04-30,,,2016-04-30T18:42:16
Bicep Curl (barbell ),3,10,95.0,2016-04-30,,,2016-04-30T18:42:16
Chin Up,6,8,57.5,2016-04-30,,,2016-04-30T18:42:16
Hammer seated row,2,10,165.0,2016-04-30,,,2016-04-30T18:42:16
Hammer seated row (CLOSE GRIP),2,10,165.0,2016-04-30,,,2016-04-30T18:42:16
Rear delt fly,4,12,130.0,2016-04-30,,,2016-04-30T18:42:16
Incline Bench Press,3,8,225.0,2016-05-01,,,2016-05-01T15:43:54
Incline Bench Press (Barbell),3,8,225.0,2016-05-01,,,2016-05-01T15:43:54
Seated Military Press,2,8,185.0,2016-05-01,,,2016-05-01T15:43:54
Seated Shoulder  Press (Barbell),2,8,185.0,2016-05-01,,,2016-05-01T15:43:54
Chin Up,6,12,0.0,2016-05-05,,,2016-05-05T18:43:48
Hammer Curl,2,14,70.0,2016-05-05,,,2016-05-05T18:43:48
Hammer Curl (Dumbbell ),2,14,70.0,2016-05-05,,,2016-05-05T18:43:48
Pull Up,4,10,0.0,2016-05-05,,,2016-05-05T18:43:48
Rear delt fly,4,15,130.0,2016-05-05,,,2016-05-05T18:43:48
Seated Cable Row (close Grip),3,15,130.0,2016-05-05,,,2016-05-05T18:43:48
Seated Row,3,15,130.0,2016-05-05,,,2016-05-05T18:43:48
Good Morning,2,8,120.0,2016-05-06,,,2016-05-06T18:56:50
Good Morning (Barbell),2,8,120.0,2016-05-06,,,2016-05-06T18:56:50
Squat,2,8,250.0,2016-05-06,,,2016-05-06T18:56:50
Squat (Barbell),2,8,250.0,2016-05-06,,,2016-05-06T18:56:50
Incline Bench Press,3,10,185.0,2016-05-10,,,2016-05-10T20:54:16
Incline Bench Press (Barbell),3,10,185.0,2016-05-10,,,2016-05-10T20:54:16
Seated Military Press,2,10,155.0,2016-05-10,,,2016-05-10T20:54:16
Seated Shoulder  Press (Barbell),2,10,155.0,2016-05-10,,,2016-05-10T20:54:16
Weighted dips,2,8,45.0,2016-05-10,,,2016-05-10T20:54:16
Chin Up,10,12,0.0,2016-05-11,,,2016-05-11T17:15:39
Hammer seated row,4,12,145.0,2016-05-11,,,2016-05-11T17:15:39
Hammer seated row (CLOSE GRIP),4,12,145.0,2016-05-11,,,2016-05-11T17:15:39
Seated Military Press,3,6,135.0,2016-05-15,,,2016-05-15T16:48:18
Seated Shoulder  Press (Barbell),3,6,135.0,2016-05-15,,,2016-05-15T16:48:18
Weighted dips,8,12,45.0,2016-05-15,,,2016-05-15T16:48:18
Glute extension.,2,12,130.0,2016-05-18,,,2016-05-18T18:06:17
Leg outward fly,2,10,130.0,2016-05-18,,,2016-05-18T18:06:17
Squat,2,8,265.0,2016-05-18,,,2016-05-18T18:06:17
Squat (Barbell),2,8,265.0,2016-05-18,,,2016-05-18T18:06:17
Incline Bench Press,3,5,245.0,2016-05-20,,,2016-05-20T18:42:16
Incline Bench Press (Barbell),3,5,245.0,2016-05-20,,,2016-05-20T18:42:16
Seated Military Press,2,8,165.0,2016-05-20,,,2016-05-20T18:42:16
Seated Shoulder  Press (Barbell),2,8,165.0,2016-05-20,,,2016-05-20T18:42:16
Weighted dips,4,10,0.0,2016-05-20,,,2016-05-20T18:42:16
Bicep Curl (Barbell),3,12,95.0,2016-05-21,,,2016-05-21T14:44:18
Bicep Curl (barbell ),3,12,95.0,2016-05-21,,,2016-05-21T14:44:18
Chin Up,6,10,55.0,2016-05-21,,,2016-05-21T14:44:18
Hammer seated row,2,12,130.0,2016-05-21,,,2016-05-21T14:44:18
Hammer seated row (CLOSE GRIP),2,12,130.0,2016-05-21,,,2016-05-21T14:44:18
Lat Pulldown,4,12,150.0,2016-05-21,,,2016-05-21T14:44:18
Seated Military Press,3,8,185.0,2016-06-02,,,2016-06-02T19:23:06
Seated Shoulder  Press (Barbell),3,8,185.0,2016-06-02,,,2016-06-02T19:23:06
Weighted dips,2,8,70.0,2016-06-02,,,2016-06-02T19:23:06
Incline Bench Press,3,8,225.0,2016-06-06,,,2016-06-06T20:41:36
Incline Bench Press (Barbell),3,8,225.0,2016-06-06,,,2016-06-06T20:41:36
Seated Military Press,2,8,155.0,2016-06-06,,,2016-06-06T20:41:36
Seated Shoulder  Press (Barbell),2,8,155.0,2016-06-06,,,2016-06-06T20:41:36
Weighted dips,4,10,0.0,2016-06-06,,,2016-06-06T20:41:36
Bicep Curl (Barbell),2,10,95.0,2016-06-07,,,2016-06-07T14:02:59
Bicep Curl (barbell ),2,10,95.0,2016-06-07,,,2016-06-07T14:02:59
Chin Up,8,8,45.0,2016-06-07,,,2016-06-07T14:02:59
Hammer seated row,3,10,145.0,2016-06-07,,,2016-06-07T14:02:59
Hammer seated row (CLOSE GRIP),3,10,145.0,2016-06-07,,,2016-06-07T14:02:59
Rear delt fly,6,12,130.0,2016-06-07,,,2016-06-07T14:02:59
Chin Up,4,8,35.0,2016-06-11,,,2016-06-11T18:49:41
Seated Cable Row (close Grip),4,9,175.0,2016-06-11,,,2016-06-11T18:49:41
Seated Row,4,9,175.0,2016-06-11,,,2016-06-11T18:49:41
Leg press,4,12,360.0,2016-06-12,,,2016-06-12T13:30:36
Leg press (hinge ),4,12,360.0,2016-06-12,,,2016-06-12T13:30:36
Squat,2,8,235.0,2016-06-12,,,2016-06-12T13:30:36
Squat (Barbell),2,8,235.0,2016-06-12,,,2016-06-12T13:30:36
Seated Military Press,2,8,185.0,2016-06-15,,,2016-06-15T06:04:11
Seated Shoulder  Press (Barbell),2,8,185.0,2016-06-15,,,2016-06-15T06:04:11
Weighted dips,4,8,90.0,2016-06-15,,,2016-06-15T06:04:11
Chin Up,8,8,35.0,2016-06-18,,,2016-06-18T12:39:27
Rear delt fly,8,15,135.0,2016-06-18,,,2016-06-18T12:39:27
Seated Cable Row (close Grip),4,10,150.0,2016-06-18,,,2016-06-18T12:39:27
Seated Row,4,10,150.0,2016-06-18,,,2016-06-18T12:39:27
Squat,2,8,225.0,2016-06-19,,,2016-06-19T12:39:27
Squat (Barbell),2,8,225.0,2016-06-19,,,2016-06-19T12:39:27
Seated Military Press,2,8,195.0,2016-06-20,,,2016-06-20T17:06:00
Seated Shoulder  Press (Barbell),2,8,195.0,2016-06-20,,,2016-06-20T17:06:00
Weighted dips,4,12,45.0,2016-06-20,,,2016-06-20T17:06:00
Chin Up,8,8,45.0,2016-06-24,,,2016-06-24T18:24:09
Hammer Curl,3,15,70.0,2016-06-24,,,2016-06-24T18:24:09
Hammer Curl (Dumbbell ),3,15,70.0,2016-06-24,,,2016-06-24T18:24:09
Rear delt fly,6,8,135.0,2016-06-24,,,2016-06-24T18:24:09
Seated Cable Row (close Grip),3,12,160.0,2016-06-24,,,2016-06-24T18:24:09
Seated Row,3,12,160.0,2016-06-24,,,2016-06-24T18:24:09
Hammer shoulder press,6,10,140.0,2016-06-25,,,2016-06-25T16:55:10
Incline Bench Press,3,8,225.0,2016-06-25,,,2016-06-25T16:55:10
Incline Bench Press (Barbell),3,8,225.0,2016-06-25,,,2016-06-25T16:55:10
Tricep pushdown,4,15,120.0,2016-06-25,,,2016-06-25T16:55:10
Squat,2,8,265.0,2016-06-26,,,2016-06-26T14:01:34
Squat (Barbell),2,8,265.0,2016-06-26,,,2016-06-26T14:01:34
Incline Bench Press,3,8,225.0,2016-06-30,,,2016-06-30T22:07:32
Incline Bench Press (Barbell),3,8,225.0,2016-06-30,,,2016-06-30T22:07:32
Seated Military Press,2,8,165.0,2016-06-30,,,2016-06-30T22:07:32
Seated Shoulder  Press (Barbell),2,8,165.0,2016-06-30,,,2016-06-30T22:07:32
Weighted dips,6,10,45.0,2016-06-30,,,2016-06-30T22:07:32
Bicep Curl (Barbell),2,10,95.0,2016-07-17,,,2016-07-17T17:21:08
Chin Up,5,8,35.0,2016-07-17,,,2016-07-17T17:21:08
Hammer Curl (Dumbbell ),1,10,80.0,2016-07-17,,,2016-07-17T17:21:08
Lat Pulldown,2,10,165.0,2016-07-17,,,2016-07-17T17:21:08
Rear delt fly,3,15,135.0,2016-07-17,,,2016-07-17T17:21:08
T-bar Row,2,10,120.0,2016-07-17,,,2016-07-17T17:21:08
Incline Bench Press (Barbell),3,8,225.0,2016-07-30,,,2016-07-30T14:46:46
Overhead Press (Dumbbell),3,10,120.0,2016-07-30,,,2016-07-30T14:46:46
Weighted dips,1,12,0.0,2016-07-30,,,2016-07-30T14:46:46
Squat (Barbell),3,8,225.0,2016-07-31,,,2016-07-31T17:39:34
Bicep Curl (Barbell),3,10,95.0,2016-08-04,,,2016-08-04T19:23:57
Chin Up,6,10,37.5,2016-08-04,,,2016-08-04T19:23:57
Hammer Curl (Dumbbell ),2,12,60.0,2016-08-04,,,2016-08-04T19:23:57
Rear delt fly,3,12,140.0,2016-08-04,,,2016-08-04T19:23:57
Seated Cable Row (close Grip),3,10,160.0,2016-08-04,,,2016-08-04T19:23:57
Deadlift (Barbell),2,6,275.0,2016-08-05,,,2016-08-05T21:52:25
Squat (Barbell),2,8,255.0,2016-08-05,,,2016-08-05T21:52:25
Incline Bench Press (Barbell),3,8,225.0,2016-08-07,,,2016-08-07T14:21:23
Overhead Press (Barbell),2,10,155.0,2016-08-07,,,2016-08-07T14:21:23
Shoulder Press (Standing),1,8,95.0,2016-08-07,,,2016-08-07T14:21:23
Chin Up,4,10,35.0,2016-08-09,,,2016-08-09T18:10:05
Seated Cable Row (close Grip),3,10,160.0,2016-08-09,,,2016-08-09T18:10:05
Seated Shoulder  Press (Barbell),2,8,205.0,2016-08-13,,,2016-08-13T16:01:20
Shoulder Press (Standing),2,8,80.0,2016-08-13,,,2016-08-13T16:01:20
Weighted dips,3,8,90.0,2016-08-13,,,2016-08-13T16:01:20
Deadlift (Barbell),3,5,275.0,2016-08-13,,,2016-08-13T19:27:54
Squat (Barbell),3,5,280.0,2016-08-13,,,2016-08-13T19:27:54
Chin Up,5,8,45.0,2016-08-15,,,2016-08-15T19:30:15
Rear delt fly,3,10,145.0,2016-08-15,,,2016-08-15T19:30:15
Seated Cable Row (close Grip),3,8,175.0,2016-08-15,,,2016-08-15T19:30:15
Deadlift (Barbell),2,6,285.0,2016-08-19,,,2016-08-19T17:32:28
Leg press (hinge ),3,10,450.0,2016-08-19,,,2016-08-19T17:32:28
Squat (Barbell),3,8,285.0,2016-08-19,,,2016-08-19T17:32:28
Bicep Curl (Barbell),2,11,95.0,2016-08-20,,,2016-08-20T19:18:20
Chin Up,4,8,50.0,2016-08-20,,,2016-08-20T19:18:20
Pull Up,2,8,25.0,2016-08-20,,,2016-08-20T19:18:20
Rear delt fly,1,12,145.0,2016-08-20,,,2016-08-20T19:18:20
T-bar Row,3,8,125.0,2016-08-20,,,2016-08-20T19:18:20
Seated Shoulder  Press (Barbell),2,10,185.0,2016-08-22,,,2016-08-22T12:49:10
Weighted dips,3,8,90.0,2016-08-22,,,2016-08-22T12:49:10
Deadlift (Barbell),3,6,300.0,2016-08-24,,,2016-08-24T21:08:23
Leg press (hinge ),3,10,450.0,2016-08-24,,,2016-08-24T21:08:23
Squat (Barbell),3,5,315.0,2016-08-24,,,2016-08-24T21:08:23
Bicep Curl (Barbell),3,12,75.0,2016-08-25,,,2016-08-25T22:09:45
Chin Up,3,9,50.0,2016-08-25,,,2016-08-25T22:09:45
Hammer Curl (Dumbbell ),1,12,70.0,2016-08-25,,,2016-08-25T22:09:45
Pull Up,2,8,50.0,2016-08-25,,,2016-08-25T22:09:45
Seated Cable Row (close Grip),1,12,155.0,2016-08-25,,,2016-08-25T22:09:45
T-bar Row,3,10,127.5,2016-08-25,,,2016-08-25T22:09:45
Bench Press (Barbell),2,5,185.0,2016-08-26,,,2016-08-26T17:05:57
Hammer Decline Chest Press,2,10,190.0,2016-08-26,,,2016-08-26T17:05:57
Hammer shoulder press,2,10,140.0,2016-08-26,,,2016-08-26T17:05:57
Incline Bench Press (Barbell),3,5,135.0,2016-08-26,,,2016-08-26T17:05:57
Overhead Press (Barbell),3,8,185.0,2016-08-26,,,2016-08-26T17:05:57
Tricep pushdown,4,12,65.0,2016-08-26,,,2016-08-26T17:05:57
Deadlift (Barbell),2,6,315.0,2016-08-28,,,2016-08-28T17:39:36
Leg press (hinge ),3,10,450.0,2016-08-28,,,2016-08-28T17:39:36
Squat (Barbell),3,6,315.0,2016-08-28,,,2016-08-28T17:39:36
Incline Press (Dumbbell),3,10,120.0,2016-08-30,,,2016-08-30T20:43:40
Seated Shoulder  Press (Barbell),3,8,215.0,2016-08-30,,,2016-08-30T20:43:40
Weighted dips,3,9,90.0,2016-08-30,,,2016-08-30T20:43:40
Bicep Curl (Barbell),1,9,100.0,2016-08-31,,,2016-08-31T14:10:02
Chin Up,3,9,52.5,2016-08-31,,,2016-08-31T14:10:02
Hammer seated row (CLOSE GRIP),3,10,130.0,2016-08-31,,,2016-08-31T14:10:02
Pull Up,3,10,27.5,2016-08-31,,,2016-08-31T14:10:02
Rear delt fly,2,12,135.0,2016-08-31,,,2016-08-31T14:10:02
T-bar Row,3,9,135.0,2016-08-31,,,2016-08-31T14:10:02
Front Squat (Barbell),1,5,175.0,2016-09-02,,,2016-09-02T04:51:09
Leg curl,3,10,135.0,2016-09-02,,,2016-09-02T04:51:09
Leg press (hinge ),4,12,450.0,2016-09-02,,,2016-09-02T04:51:09
Squat (Barbell),3,6,320.0,2016-09-02,,,2016-09-02T04:51:09
Incline Bench Press (Barbell),2,7,135.0,2016-09-03,,,2016-09-03T10:36:20
Lateral Raise (Dumbbell),3,15,40.0,2016-09-03,,,2016-09-03T10:36:20
Overhead Press (Dumbbell),3,12,40.0,2016-09-03,,,2016-09-03T10:36:20
Tricep pushdown,3,15,60.0,2016-09-03,,,2016-09-03T10:36:20
Weighted dips,3,8,100.0,2016-09-03,,,2016-09-03T10:36:20
Bent Over Row (Dumbbell),3,10,190.0,2016-09-04,,,2016-09-04T16:24:32
Chin Up,4,9,55.0,2016-09-04,,,2016-09-04T16:24:32
Hammer Curl (Dumbbell ),4,7,50.0,2016-09-04,,,2016-09-04T16:24:32
Lat Pulldown,2,10,135.0,2016-09-04,,,2016-09-04T16:24:32
Pull Up,2,10,30.0,2016-09-04,,,2016-09-04T16:24:32
T-bar Row,2,12,100.0,2016-09-04,,,2016-09-04T16:24:32
Deadlift (Barbell),3,5,325.0,2016-09-06,,,2016-09-06T19:56:20
Leg Extension (Machine),2,15,135.0,2016-09-06,,,2016-09-06T19:56:20
Leg curl,3,10,125.0,2016-09-06,,,2016-09-06T19:56:20
Leg press (hinge ),2,15,470.0,2016-09-06,,,2016-09-06T19:56:20
Squat (Barbell),2,6,330.0,2016-09-06,,,2016-09-06T19:56:20
Seated Shoulder  Press (Barbell),2,8,205.0,2016-09-07,,,2016-09-07T15:59:06
Seated Shoulder Press (Dumbbell),2,12,60.0,2016-09-07,,,2016-09-07T15:59:06
Weighted dips,2,9,90.0,2016-09-07,,,2016-09-07T15:59:06
Bicep Curl (Barbell),2,12,75.0,2016-09-09,,,2016-09-09T14:22:08
Chin Up,3,10,55.0,2016-09-09,,,2016-09-09T14:22:08
Lat Pulldown,2,10,135.0,2016-09-09,,,2016-09-09T14:22:08
Pull Up,2,10,35.0,2016-09-09,,,2016-09-09T14:22:08
Rear delt fly,3,15,130.0,2016-09-09,,,2016-09-09T14:22:08
Seated Cable Row (close Grip),2,8,175.0,2016-09-09,,,2016-09-09T14:22:08
T-bar Row,2,10,137.5,2016-09-09,,,2016-09-09T14:22:08
Leg outward fly,3,12,110.0,2016-09-10,,,2016-09-10T14:22:28
Leg press (hinge ),3,12,475.0,2016-09-10,,,2016-09-10T14:22:28
Squat (Barbell),2,8,320.0,2016-09-10,,,2016-09-10T14:22:28
Incline Press (Dumbbell),2,12,140.0,2016-09-11,,,2016-09-11T11:50:14
Lateral Raise (Dumbbells),2,10,50.0,2016-09-11,,,2016-09-11T11:50:14
Overhead Press (Dumbbell),1,10,60.0,2016-09-11,,,2016-09-11T11:50:14
Seated Shoulder  Press (Barbell),1,8,225.0,2016-09-11,,,2016-09-11T11:50:14
Weighted dips,3,9,105.0,2016-09-11,,,2016-09-11T11:50:14
Bicep Curl (Barbell),3,10,95.0,2016-09-13,,,2016-09-13T06:51:12
Chin Up,4,10,50.0,2016-09-13,,,2016-09-13T06:51:12
Hammer seated row (CLOSE GRIP),2,10,165.0,2016-09-13,,,2016-09-13T06:51:12
Lat Pulldown,1,10,140.0,2016-09-13,,,2016-09-13T06:51:12
Pull Up,1,11,25.0,2016-09-13,,,2016-09-13T06:51:12
Rear delt fly,3,15,130.0,2016-09-13,,,2016-09-13T06:51:12
T-bar Row,2,10,137.5,2016-09-13,,,2016-09-13T06:51:12
Deadlift (Barbell),1,5,350.0,2016-09-14,,,2016-09-14T15:21:27
Good Morning (Barbell),2,10,100.0,2016-09-14,,,2016-09-14T15:21:27
Leg outward fly,2,12,120.0,2016-09-14,,,2016-09-14T15:21:27
Squat (Barbell),2,5,225.0,2016-09-14,,,2016-09-14T15:21:27
Incline Bench Press (Barbell),2,8,225.0,2016-09-15,,,2016-09-15T18:46:12
Incline Press (Dumbbell),2,9,180.0,2016-09-15,,,2016-09-15T18:46:12
Landmine Press,3,8,105.0,2016-09-15,,,2016-09-15T18:46:12
Lateral Raise (Dumbbells),1,15,50.0,2016-09-15,,,2016-09-15T18:46:12
Tricep Extension,1,12,75.0,2016-09-15,,,2016-09-15T18:46:12
Bicep Curl (Barbell),3,10,97.5,2016-09-18,,,2016-09-18T13:42:54
